   id, time,  addr, rssi,  ave, lane
    0, 1839, 65:02,  -57,  -53,    0
    1,  477, 65:02,  -59,  -58,    0
    2,  477, 65:02,  -57,  -58,    0
    3,  484, 65:02,  -60,  -58,    0
    4,  487, 65:02,  -56,  -58,    0
    5,  470, 65:02,  -61,  -58,    0
    6,  964, 65:02,  -62,  -61,    0
    7,  473, 65:02,  -63,  -62,    0
    8,  483, 65:02,  -64,  -63,    0
    9,  477, 65:02,  -59,  -61,    0
   10,  487, 65:02,  -61,  -60,    0
   11,  475, 65:02,  -60,  -60,    0
   12,  959, 65:02,  -58,  -59,    0
   13, 2404, 65:02,  -62,  -60,    0
   14,  482, 65:02,  -66,  -64,    0
   15,  957, 65:02,  -61,  -63,    0
   16,  476, 65:02,  -63,  -62,    0
   17, 1928, 65:02,  -67,  -65,    0
   18,  473, 65:02,  -62,  -64,    0
   19,  476, 65:02,  -64,  -63,    0
   20,  967, 65:02,  -64,  -64,    0
   21,  491, 65:02,  -65,  -64,    0
   22,  484, 65:02,  -63,  -64,    0
   23,  460, 65:02,  -69,  -66,    0
   24,  487, 65:02,  -61,  -65,    0
   25,  505, 65:02,  -61,  -61,    0
   26,  936, 65:02,  -63,  -62,    0
   27,  479, 65:02,  -61,  -62,    0
   28,  481, 65:02,  -62,  -61,    0
   29,  485, 65:02,  -61,  -61,    0
   30,  474, 65:02,  -69,  -65,    0
   31,  478, 65:02,  -60,  -64,    0
   32,  484, 65:02,  -69,  -64,    0
   33,  474, 65:02,  -59,  -64,    0
   34,  501, 65:02,  -63,  -61,    0
   35,  457, 65:02,  -60,  -61,    0
   36,  966, 65:02,  -65,  -62,    0
   37,  475, 65:02,  -67,  -66,    0
   38,  965, 65:02,  -64,  -65,    0
   39,  482, 65:02,  -65,  -64,    0
   40,  475, 65:02,  -69,  -67,    0
   41,  477, 65:02,  -62,  -65,    0
   42,  489, 65:02,  -63,  -62,    0
   43, 3108, xx:xx, -120,  -91,    0
   44, 3107, xx:xx, -120, -120,    0
   45, 3111, xx:xx, -120, -120,    0
   46, 3121, xx:xx, -120, -120,    0
   47, 3158, xx:xx, -120, -120,    0
   48, 3125, xx:xx, -120, -120,    0
   49, 3141, xx:xx, -120, -120,    0
   50, 3084, xx:xx, -120, -120,    0
   51, 3105, xx:xx, -120, -120,    0
   52, 3100, xx:xx, -120, -120,    0
   53, 2946, 65:02,  -48,  -84,    0
   54,  460, 65:02,  -52,  -50,    0
   55,  479, 65:02,  -47,  -49,    0
   56,  515, 65:02,  -48,  -47,    0
   57,  435, 65:02,  -53,  -50,    0
   58,  490, 65:02,  -48,  -50,    0
   59,  948, 65:02,  -48,  -48,    0
   60,  527, 65:02,  -48,  -48,    0
   61,  440, 65:02,  -52,  -50,    0
   62,  474, 65:02,  -48,  -50,    0
   63,  528, 65:02,  -48,  -48,    0
   64,  454, 65:02,  -53,  -50,    0
   65,  938, 65:02,  -47,  -50,    0
   66,  480, 65:02,  -48,  -47,    0
   67,  483, 65:02,  -47,  -47,    0
   68,  970, 65:02,  -48,  -47,    0
   69,  467, 65:02,  -52,  -50,    0
   70,  995, 65:02,  -48,  -50,    0
   71,  445, 65:02,  -53,  -50,    0
   72,  479, 65:02,  -48,  -50,    0
   73,  522, 65:02,  -48,  -48,    1
   74,  442, 65:02,  -48,  -48,    1
   75,  478, 65:02,  -48,  -48,    1
   76,  489, 65:02,  -48,  -48,    1
   77,  471, 65:02,  -48,  -48,    1
   78,  478, 65:02,  -47,  -47,    1
   79,  488, 65:02,  -48,  -47,    1
   80,  495, 65:02,  -48,  -48,    1
   81,  466, 65:02,  -48,  -48,    1
   82,  471, 65:02,  -48,  -48,    1
   83,  483, 65:02,  -48,  -48,    1
   84,  489, 65:02,  -48,  -48,    1
   85,  511, 65:02,  -48,  -48,    1
   86,  444, 65:02,  -47,  -47,    1
   87,  968, 65:02,  -53,  -50,    1
   88,  488, 65:02,  -47,  -50,    1
   89,  481, 65:02,  -48,  -47,    1
   90,  464, 65:02,  -48,  -48,    1
   91,  474, 65:02,  -48,  -48,    1
   92,  488, 65:02,  -53,  -50,    1
   93,  489, 65:02,  -48,  -50,    1
   94,  463, 65:02,  -48,  -48,    1
   95,  484, 65:02,  -48,  -48,    1
   96,  481, 65:02,  -48,  -48,    1
   97,  496, 65:02,  -48,  -48,    1
   98,  467, 65:02,  -48,  -48,    1
   99,  482, 65:02,  -48,  -48,    1
  100,  472, 65:02,  -48,  -48,    1
  101,  498, 65:02,  -48,  -48,    1
  102,  947, 65:02,  -48,  -48,    1
  103,  965, 65:02,  -47,  -47,    1
  104,  473, 65:02,  -59,  -53,    1
  105,  474, 65:02,  -59,  -59,    1
  106,  531, 65:02,  -51,  -55,    1
  107,  448, 65:02,  -51,  -51,    1
  108,  474, 65:02,  -53,  -52,    1
  109,  475, 65:02,  -54,  -53,    1
  110,  482, 65:02,  -53,  -53,    1
  111,  476, 65:02,  -56,  -54,    1
  112,  483, 65:02,  -54,  -55,    1
  113,  476, 65:02,  -53,  -53,    1
  114,  484, 65:02,  -54,  -53,    1
  115,  477, 65:02,  -53,  -53,    1
  116,  482, 65:02,  -53,  -53,    1
  117,  481, 65:02,  -53,  -53,    1
  118,  474, 65:02,  -53,  -53,    1
  119,  485, 65:02,  -52,  -52,    1
  120,  957, 65:02,  -55,  -53,    1
  121,  482, 65:02,  -53,  -54,    1
  122,  477, 65:02,  -54,  -53,    1
  123,  485, 65:02,  -53,  -53,    1
  124,  504, 65:02,  -55,  -54,    1
  125,  451, 65:02,  -55,  -55,    1
  126,  493, 65:02,  -51,  -53,    1
  127,  465, 65:02,  -53,  -52,    1
  128,  981, 65:02,  -56,  -54,    1
  129,  469, 65:02,  -54,  -55,    1
  130,  476, 65:02,  -55,  -54,    1
  131,  480, 65:02,  -56,  -55,    1
  132,  475, 65:02,  -53,  -54,    1
  133,  481, 65:02,  -53,  -53,    1
  134,  494, 65:02,  -57,  -55,    1
  135,  950, 65:02,  -52,  -54,    1
  136,  477, 65:02,  -55,  -53,    1
  137,  479, 65:02,  -52,  -53,    1
  138,  484, 65:02,  -51,  -51,    1
  139,  482, 65:02,  -60,  -55,    1
  140,  476, 65:02,  -37,  -48,    1
  141,  980, 65:02,  -38,  -37,    1
  142,  455, 65:02,  -42,  -40,    1
