   id,  t_abs,t_diff,  addr, rssi,  lane
    0,      0,   752, 65:02,  -49,    0
    1,      1,   418, 65:02,  -45,    0
    2,      1,   420, 65:02,  -51,    0
    3,      2,   403, 65:02,  -57,    0
    4,      2,   386, 65:02,  -67,    0
    5,      3,   428, 65:02,  -57,    0
    6,      3,   358, 65:02,  -51,    0
    7,      4,   815, 65:02,  -54,    0
    8,      5,   374, 65:02,  -56,    0
    9,      5,   371, 65:02,  -60,    0
   10,      6,   379, 65:02,  -67,    0
   11,      6,   376, 65:02,  -71,    0
   12,      7,   392, 65:02,  -61,    0
   13,      7,   380, 65:02,  -60,    0
   14,      8,   367, 65:02,  -65,    0
   15,      8,   372, 65:02,  -62,    0
   16,      9,   409, 65:02,  -67,    0
   17,      9,   352, 65:02,  -58,    0
   18,     10,   367, 65:02,  -63,    0
   19,     10,   839, 65:02,  -64,    0
   20,     11,   372, 65:02,  -58,    0
   21,     12,   321, 65:02,  -67,    0
   22,     12,   863, 65:02,  -67,    0
   23,     13,   380, 65:02,  -58,    0
   24,     13,   365, 65:02,  -62,    0
   25,     14,   383, 65:02,  -59,    0
   26,     14,   845, 65:02,  -58,    0
   27,     15,   853, 65:02,  -59,    0
   28,     16,   372, 65:02,  -56,    0
   29,     17,   372, 65:02,  -59,    0
   30,     17,   386, 65:02,  -62,    0
   31,     18,   359, 65:02,  -70,    0
   32,     18,   378, 65:02,  -75,    0
   33,     19,   363, 65:02,  -64,    0
   34,     19,   377, 65:02,  -51,    0
   35,     20,   331, 65:02,  -63,    0
   36,     20,   366, 65:02,  -62,    0
   37,     21,   381, 65:02,  -64,    0
   38,     21,   848, 65:02,  -60,    0
   39,     22,   363, 65:02,  -53,    0
   40,     23,   378, 65:02,  -72,    0
   41,     23,   390, 65:02,  -70,    0
   42,     24,   858, 65:02,  -48,    0
   43,     25,   358, 65:02,  -47,    0
   44,     25,   374, 65:02,  -51,    0
   45,     25,   376, 65:02,  -50,    0
   46,     26,   363, 65:02,  -50,    0
   47,     26,   377, 65:02,  -51,    0
   48,     27,   366, 65:02,  -51,    0
   49,     27,   328, 65:02,  -54,    0
   50,     28,   846, 65:02,  -51,    0
   51,     29,   390, 65:02,  -48,    0
   52,     29,   342, 65:02,  -47,    0
   53,     30,   854, 65:02,  -61,    0
   54,     31,   858, 65:02,  -59,    0
   55,     32,   360, 65:02,  -70,    0
   56,     32,   383, 65:02,  -60,    0
   57,     33,   364, 65:02,  -57,    0
   58,     33,   391, 65:02,  -60,    0
   59,     34,   354, 65:02,  -59,    0
   60,     34,   374, 65:02,  -60,    0
   61,     35,   364, 65:02,  -60,    0
   62,     35,   377, 65:02,  -61,    0
   63,     36,   310, 65:02,  -56,    0
   64,     36,   365, 65:02,  -61,    0
   65,     37,   391, 65:02,  -46,    0
   66,     37,   356, 65:02,  -70,    0
   67,     37,   365, 65:02,  -69,    0
   68,     38,   356, 65:02,  -61,    0
   69,     38,   356, 65:02,  -48,    0
   70,     39,   370, 65:02,  -47,    0
   71,     39,   366, 65:02,  -45,    0
   72,     40,   373, 65:02,  -57,    0
   73,     40,   846, 65:02,  -47,    0
   74,     41,   376, 65:02,  -57,    0
   75,     42,   336, 65:02,  -55,    0
   76,     42,   840, 65:02,  -45,    0
   77,     43,   299, 65:02,  -46,    0
   78,     44,   363, 65:02,  -45,    0
   79,     44,   386, 65:02,  -45,    0
   80,     45,   840, 65:02,  -46,    0
   81,     46,   351, 65:02,  -56,    0
   82,     46,   359, 65:02,  -45,    0
   83,     47,   864, 65:02,  -46,    0
   84,     48,   347, 65:02,  -56,    0
   85,     48,   365, 65:02,  -46,    0
   86,     49,   364, 65:02,  -46,    0
   87,     49,   387, 65:02,  -46,    0
   88,     49,   348, 65:02,  -58,    0
   89,     50,   384, 65:02,  -46,    0
   90,     50,   355, 65:02,  -57,    0
   91,     51,   281, 65:02,  -46,    0
   92,     51,   374, 65:02,  -45,    0
   93,     52,  1318, 65:02,  -57,    0
   94,     53,   384, 65:02,  -57,    0
   95,     54,   326, 65:02,  -46,    0
   96,     54,   329, 65:02,  -46,    0
   97,     55,   385, 65:02,  -46,    0
   98,     55,   374, 65:02,  -46,    0
   99,     56,   389, 65:02,  -46,    0
  100,     56,   377, 65:02,  -46,    0
  101,     57,   383, 65:02,  -46,    0
  102,     57,   409, 65:02,  -57,    0
  103,     58,   338, 65:02,  -57,    0
  104,     58,   885, 65:02,  -58,    0
  105,     59,   310, 65:02,  -45,    0
  106,     60,   402, 65:02,  -46,    0
  107,     60,   359, 65:02,  -46,    0
  108,     60,   415, 65:02,  -46,    0
  109,     61,   356, 65:02,  -59,    0
  110,     61,   367, 65:02,  -46,    0
  111,     62,   390, 65:02,  -45,    0
  112,     62,   363, 65:02,  -46,    0
  113,     63,   357, 65:02,  -45,    0
  114,     63,   404, 65:02,  -46,    0
  115,     64,   359, 65:02,  -46,    0
  116,     64,   864, 65:02,  -46,    0
  117,     65,   360, 65:02,  -59,    0
  118,     66,   404, 65:02,  -45,    0
  119,     66,   302, 65:02,  -46,    0
  120,     67,   367, 65:02,  -45,    0
  121,     67,   380, 65:02,  -46,    0
  122,     68,   860, 65:02,  -46,    0
  123,     69,   366, 65:02,  -46,    0
  124,     69,   409, 65:02,  -45,    0
  125,     70,   346, 65:02,  -57,    0
  126,     70,   405, 65:02,  -46,    0
  127,     71,   351, 65:02,  -58,    0
  128,     71,   389, 65:02,  -45,    0
  129,     72,   356, 65:02,  -58,    0
  130,     72,   377, 65:02,  -46,    0
  131,     73,   400, 65:02,  -46,    0
  132,     73,   350, 65:02,  -58,    0
  133,     74,   325, 65:02,  -46,    0
  134,     74,   366, 65:02,  -46,    0
  135,     74,   378, 65:02,  -46,    0
  136,     75,   380, 65:02,  -46,    0
  137,     75,   366, 65:02,  -57,    0
  138,     76,   399, 65:02,  -46,    0
  139,     76,   356, 65:02,  -55,    0
  140,     77,   869, 65:02,  -45,    0
  141,     78,   364, 65:02,  -46,    0
  142,     78,  1330, 65:02,  -57,    0
  143,     80,   880, 65:02,  -45,    0
  144,     81,   348, 65:02,  -57,    0
  145,     81,   859, 65:02,  -45,    0
  146,     82,   381, 65:02,  -55,    0
  147,     83,   306, 65:02,  -48,    0
  148,     83,   369, 65:02,  -48,    0
  149,     84,   398, 65:02,  -47,    0
  150,     84,   351, 65:02,  -48,    0
  151,     85,  1339, 65:02,  -41,    0
  152,     86,   371, 65:02,  -48,    0
  153,     86,   362, 65:02,  -54,    0
  154,     87,   399, 65:02,  -61,    0
  155,     87,   345, 65:02,  -51,    0
  156,     88,   392, 65:02,  -62,    0
  157,     88,   355, 65:02,  -52,    0
  158,     89,   373, 65:02,  -54,    0
  159,     89,   365, 65:02,  -62,    0
  160,     90,   363, 65:02,  -60,    0
  161,     90,  1283, 65:02,  -51,    0
  162,     92,   855, 65:02,  -56,    0
  163,     93,   369, 65:02,  -62,    0
  164,     93,   837, 65:02,  -64,    0
  165,     94,   368, 65:02,  -56,    0
  166,     95,   366, 65:02,  -57,    0
  167,     95,   367, 65:02,  -54,    0
  168,     96,   371, 65:02,  -65,    0
  169,     96,   377, 65:02,  -60,    0
  170,     97,   361, 65:02,  -67,    0
  171,     97,   368, 65:02,  -59,    0
  172,     97,   376, 65:02,  -56,    0
  173,     98,   372, 65:02,  -60,    0
  174,     98,   380, 65:02,  -59,    0
  175,     99,   313, 65:02,  -54,    0
  176,     99,   367, 65:02,  -58,    0
  177,    100,   356, 65:02,  -59,    0
  178,    100,   367, 65:02,  -53,    0
  179,    101,   835, 65:02,  -65,    0
  180,    102,   375, 65:02,  -49,    0
  181,    102,   860, 65:02,  -72,    0
  182,    103,   355, 65:02,  -46,    0
  183,    104,   359, 65:02,  -54,    0
  184,    104,   362, 65:02,  -46,    0
  185,    105,   368, 65:02,  -49,    0
  186,    105,   372, 65:02,  -68,    0
  187,    106,   377, 65:02,  -53,    0
  188,    106,   823, 65:02,  -65,    0
  189,    107,   326, 65:02,  -63,    0
  190,    108,   355, 65:02,  -58,    0
  191,    108,  1326, 65:02,  -52,    0
  192,    109,   377, 65:02,  -63,    0
